task,tier,regime,estimator,denominator,clipping,support_contract,horizon,coverage_rate,spearman_rank_recovery,pairwise_order_recovery,behavior_relative_sign_recovery,false_improvement_rate,median_ess,maximum_weight_concentration,maximum_unsupported_action_mass,maximum_paired_true_return_se,coverage_gate,rank_gate,pairwise_gate,sign_gate,false_improvement_gate,ess_gate,support_gate,precision_gate,finite_gate,approved_exact_tuple
aki_rrt,tier1_exact_finite,delayed,FQE,crossfit_stronger,20.0,masked,3,0.2307692307692307,0.9943820224719102,0.9861111111111112,0.9230769230769231,0.0,315.4035036239078,0.0068424194226553,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,crossfit_stronger,20.0,unrestricted_stress,1,1.0,,,,,677.1767864516876,0.0016458165379201,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,crossfit_stronger,20.0,unrestricted_stress,2,0.0,,,,,424.28040013794697,0.003008066886271,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,crossfit_stronger,20.0,unrestricted_stress,3,0.0,,,,,262.8605855554239,0.0051640453519686,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,crossfit_stronger,none,masked,1,0.5384615384615384,0.9942857142857142,0.9855072463768116,1.0,0.0,677.1767864516876,0.0035980236760165,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,crossfit_stronger,none,masked,2,0.2307692307692307,1.0,1.0,1.0,0.0,441.145714436415,0.0057549522018564,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,crossfit_stronger,none,masked,3,0.2307692307692307,0.9943820224719102,0.9861111111111112,0.9230769230769231,0.0,315.4035036239078,0.0068424194226553,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,crossfit_stronger,none,unrestricted_stress,1,1.0,,,,,677.1767864516876,0.0016458165379201,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,crossfit_stronger,none,unrestricted_stress,2,0.0,,,,,424.28040013794697,0.003008066886271,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,crossfit_stronger,none,unrestricted_stress,3,0.0,,,,,262.8605855554239,0.0051640453519686,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,exact_behavior,20.0,masked,1,0.5384615384615384,0.9942857142857142,0.9855072463768116,1.0,0.0,673.9160192493683,0.0036126989810233,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,exact_behavior,20.0,masked,2,0.2307692307692307,1.0,1.0,1.0,0.0,440.4844512907689,0.0049888717130185,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,exact_behavior,20.0,masked,3,0.2307692307692307,0.9943820224719102,0.9861111111111112,0.9230769230769231,0.0,307.3166478425081,0.0060547877454432,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,exact_behavior,20.0,unrestricted_stress,1,1.0,,,,,673.9160192493683,0.0016924838289271,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
